sample,latency_ns,latency_cycles,poll_iterations
204,7320.0,366.00,1
205,7320.0,366.00,1
206,7320.0,366.00,1
207,7320.0,366.00,1
208,7320.0,366.00,1
209,7320.0,366.00,1
210,7320.0,366.00,1
211,7320.0,366.00,1
212,7320.0,366.00,1
213,7320.0,366.00,1
214,7320.0,366.00,1
215,7320.0,366.00,1
216,7320.0,366.00,1
217,7320.0,366.00,1
218,7320.0,366.00,1
219,7320.0,366.00,1
220,7320.0,366.00,1
221,7320.0,366.00,1
222,7320.0,366.00,1
223,7320.0,366.00,1
224,7320.0,366.00,1
225,7320.0,366.00,1
226,7320.0,366.00,1
227,7320.0,366.00,1
228,7320.0,366.00,1
229,7320.0,366.00,1
230,7320.0,366.00,1
231,7320.0,366.00,1
232,7320.0,366.00,1
233,7320.0,366.00,1
234,7320.0,366.00,1
235,7320.0,366.00,1
236,7320.0,366.00,1
237,7320.0,366.00,1
238,7320.0,366.00,1
239,7320.0,366.00,1
240,7320.0,366.00,1
241,7320.0,366.00,1
242,7320.0,366.00,1
243,7320.0,366.00,1
244,7320.0,366.00,1
245,7320.0,366.00,1
246,7320.0,366.00,1
247,7320.0,366.00,1
248,7320.0,366.00,1
249,7320.0,366.00,1
250,7320.0,366.00,1
251,7320.0,366.00,1
252,7320.0,366.00,1
253,7320.0,366.00,1
254,7320.0,366.00,1
255,7320.0,366.00,1
256,7320.0,366.00,1
257,7320.0,366.00,1
258,7320.0,366.00,1
259,7320.0,366.00,1
260,7320.0,366.00,1
261,7320.0,366.00,1
262,7320.0,366.00,1
263,7320.0,366.00,1
264,7320.0,366.00,1
265,7320.0,366.00,1
266,7320.0,366.00,1
267,7320.0,366.00,1
268,7320.0,366.00,1
269,7320.0,366.00,1
270,7320.0,366.00,1
271,7320.0,366.00,1
272,7320.0,366.00,1
273,7320.0,366.00,1
274,7320.0,366.00,1
275,7320.0,366.00,1
276,7320.0,366.00,1
277,7320.0,366.00,1
278,7320.0,366.00,1
279,7320.0,366.00,1
280,7320.0,366.00,1
281,7320.0,366.00,1
282,7320.0,366.00,1
283,7320.0,366.00,1
284,7320.0,366.00,1
285,7320.0,366.00,1
286,7320.0,366.00,1
287,7320.0,366.00,1
288,7320.0,366.00,1
289,7320.0,366.00,1
290,7320.0,366.00,1
291,7320.0,366.00,1
292,7320.0,366.00,1
293,7320.0,366.00,1
294,7320.0,366.00,1
295,7320.0,366.00,1
296,7320.0,366.00,1
297,7320.0,366.00,1
298,7320.0,366.00,1
299,7320.0,366.00,1
300,7320.0,366.00,1
301,7320.0,366.00,1
302,7320.0,366.00,1
303,7320.0,366.00,1
304,7320.0,366.00,1
305,7320.0,366.00,1
306,7320.0,366.00,1
307,7320.0,366.00,1
308,7320.0,366.00,1
309,7320.0,366.00,1
310,7320.0,366.00,1
311,7320.0,366.00,1
312,7320.0,366.00,1
