sample,latency_ns,latency_cycles,total_poll_iterations
541,37420.0,1871.00,3
542,37420.0,1871.00,3
543,37420.0,1871.00,3
544,37420.0,1871.00,3
545,37420.0,1871.00,3
546,37420.0,1871.00,3
547,37420.0,1871.00,3
548,37420.0,1871.00,3
549,37420.0,1871.00,3
550,37420.0,1871.00,3
551,37420.0,1871.00,3
552,37420.0,1871.00,3
553,37420.0,1871.00,3
554,37420.0,1871.00,3
555,37420.0,1871.00,3
556,37420.0,1871.00,3
557,37420.0,1871.00,3
558,37420.0,1871.00,3
559,37420.0,1871.00,3
560,37420.0,1871.00,3
561,37420.0,1871.00,3
562,37420.0,1871.00,3
563,37420.0,1871.00,3
564,37420.0,1871.00,3
565,37420.0,1871.00,3
566,37420.0,1871.00,3
567,37420.0,1871.00,3
568,37420.0,1871.00,3
569,37420.0,1871.00,3
570,37420.0,1871.00,3
571,37420.0,1871.00,3
572,37420.0,1871.00,3
573,37420.0,1871.00,3
574,37420.0,1871.00,3
575,37420.0,1871.00,3
576,37420.0,1871.00,3
577,37420.0,1871.00,3
578,37420.0,1871.00,3
579,37420.0,1871.00,3
580,37420.0,1871.00,3
581,37420.0,1871.00,3
582,37420.0,1871.00,3
583,37420.0,1871.00,3
584,37420.0,1871.00,3
585,37420.0,1871.00,3
586,37420.0,1871.00,3
587,37420.0,1871.00,3
588,37420.0,1871.00,3
589,37420.0,1871.00,3
590,37420.0,1871.00,3
591,37420.0,1871.00,3
592,37420.0,1871.00,3
593,37420.0,1871.00,3
594,37420.0,1871.00,3
595,37420.0,1871.00,3
596,37420.0,1871.00,3
597,37420.0,1871.00,3
598,37420.0,1871.00,3
599,37420.0,1871.00,3
600,37420.0,1871.00,3
601,37420.0,1871.00,3
602,37420.0,1871.00,3
603,37420.0,1871.00,3
604,37420.0,1871.00,3
605,37420.0,1871.00,3
606,37420.0,1871.00,3
607,37420.0,1871.00,3
608,37420.0,1871.00,3
609,37420.0,1871.00,3
610,37420.0,1871.00,3
611,37420.0,1871.00,3
612,37420.0,1871.00,3
613,37420.0,1871.00,3
614,55820.0,2791.00,3
615,37470.0,1873.50,3
616,37420.0,1871.00,3
